threshold,refuse_answerable,refuse_out_of_corpus,refuse_related_unanswerable,balanced_accuracy
0.2,0.933,1.0,1.0,0.533
0.25,0.667,1.0,1.0,0.667
0.3,0.533,1.0,1.0,0.733
0.35,0.333,1.0,0.667,0.8
0.4,0.133,1.0,0.333,0.867
0.45,0.0,1.0,0.333,0.933
0.5,0.0,1.0,0.0,0.9
0.55,0.0,0.917,0.0,0.867
0.6,0.0,0.917,0.0,0.867
0.65,0.0,0.833,0.0,0.833
0.7,0.0,0.75,0.0,0.8
0.75,0.0,0.417,0.0,0.667
0.8,0.0,0.0,0.0,0.5
0.85,0.0,0.0,0.0,0.5
0.9,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
1.05,0.0,0.0,0.0,0.5
1.1,0.0,0.0,0.0,0.5
1.15,0.0,0.0,0.0,0.5
1.2,0.0,0.0,0.0,0.5
